postcode,state,year,month,date,mean_price_cents,n_observations,n_unique_stations
2527,NSW,2024,4,2024-04-15,197.4324,253,8
2527,NSW,2025,4,2025-04-15,160.9898,59,9
2527,NSW,2024,8,2024-08-15,177.1979,193,8
2527,NSW,2025,8,2025-08-15,170.8704,196,8
2527,NSW,2024,12,2024-12-15,171.4569,51,5
2527,NSW,2025,12,2025-12-15,167.0481,77,7
2527,NSW,2024,2,2024-02-15,189.4702,285,8
2527,NSW,2024,1,2024-01-15,181.7071,238,8
2527,NSW,2026,1,2026-01-15,163.4957,70,8
2527,NSW,2024,6,2024-06-15,190.2834,301,8
2527,NSW,2024,3,2024-03-15,187.1192,281,8
2527,NSW,2024,5,2024-05-15,184.793,230,8
2527,NSW,2025,5,2025-05-15,156.8691,94,9
2527,NSW,2024,11,2024-11-15,181.4655,235,9
2527,NSW,2025,11,2025-11-15,163.8406,175,7
2527,NSW,2024,9,2024-09-15,165.6295,207,8
2527,NSW,2023,12,2023-12-15,180.2413,218,8
2527,NSW,2023,11,2023-11-15,197.1306,157,8
2527,NSW,2019,4,2019-04-15,139.8873,55,8
2527,NSW,2020,4,2020-04-15,96.4511,47,8
2527,NSW,2021,4,2021-04-15,138.6842,19,6
2527,NSW,2022,4,2022-04-15,186.2282,103,8
2527,NSW,2023,4,2023-04-15,179.8597,72,7
2527,NSW,2020,8,2020-08-15,127.9035,57,6
2527,NSW,2021,8,2021-08-15,165.3435,23,8
2527,NSW,2022,8,2022-08-15,167.428,82,7
2527,NSW,2019,12,2019-12-15,142.9667,30,8
2527,NSW,2020,12,2020-12-15,127.363,81,8
2527,NSW,2022,12,2022-12-15,164.4821,95,7
2527,NSW,2021,12,2021-12-15,168.8609,23,7
2527,NSW,2020,2,2020-02-15,151.9275,80,9
2527,NSW,2021,2,2021-02-15,148.2333,15,6
2527,NSW,2023,2,2023-02-15,177.5256,39,7
2527,NSW,2022,2,2022-02-15,178.3732,56,8
2527,NSW,2020,1,2020-01-15,151.0418,79,9
2527,NSW,2021,1,2021-01-15,119.4778,27,6
2527,NSW,2023,1,2023-01-15,167.9084,95,6
2527,NSW,2022,1,2022-01-15,174.1633,49,8
2527,NSW,2020,7,2020-07-15,125.0738,42,8
2527,NSW,2021,7,2021-07-15,134.6442,129,8
2527,NSW,2022,7,2022-07-15,195.4347,167,7
2527,NSW,2023,7,2023-07-15,185.1946,56,8
2527,NSW,2020,6,2020-06-15,127.0952,21,8
2527,NSW,2021,6,2021-06-15,145.5748,103,7
2527,NSW,2022,6,2022-06-15,211.8901,162,8
2527,NSW,2023,6,2023-06-15,180.7843,70,7
2527,NSW,2020,3,2020-03-15,124.0579,76,8
2527,NSW,2021,3,2021-03-15,143.7783,23,8
2527,NSW,2023,3,2023-03-15,174.4154,52,6
2527,NSW,2022,3,2022-03-15,198.6364,22,8
2527,NSW,2020,5,2020-05-15,109.504,25,8
2527,NSW,2021,5,2021-05-15,162.6727,33,8
2527,NSW,2022,5,2022-05-15,195.8731,130,8
2527,NSW,2023,5,2023-05-15,167.7376,101,7
2527,NSW,2019,11,2019-11-15,149.7559,68,9
2527,NSW,2020,11,2020-11-15,118.8455,66,8
2527,NSW,2021,11,2021-11-15,169.0158,19,5
2527,NSW,2022,11,2022-11-15,196.2838,37,6
