postcode,state,avg_unique_stations,n_months_observed,min_dist_any_costco_km
2527,NSW,7.7,92,67.88
2259,NSW,22.28,93,36.48
2250,NSW,14.92,93,54.35
2830,NSW,9.25,93,265.02
2330,NSW,8.4,91,59.97
2590,NSW,3.74,88,129.71
2640,NSW,8.58,93,221.75
2541,NSW,12.53,93,105.01
2340,NSW,15.17,93,213.03
2529,NSW,4.74,93,68.0
2324,NSW,9.79,92,33.97
2251,NSW,4.4,93,52.37
2320,NSW,10.4,93,30.9
2261,NSW,11.25,93,48.27
2800,NSW,11.63,93,170.8
2430,NSW,8.2,92,138.4
2446,NSW,3.85,78,194.66
2577,NSW,5.49,91,85.77
2350,NSW,6.12,91,266.9
2650,NSW,15.72,93,166.6
2880,NSW,6.36,92,828.66
2478,NSW,6.88,93,108.17
2460,NSW,11.86,93,208.95
2850,NSW,3.86,92,171.17
2530,NSW,5.57,93,61.03
2333,NSW,6.73,89,102.0
2486,NSW,6.35,93,45.31
2790,NSW,6.7,93,66.24
2580,NSW,10.78,93,77.48
2370,NSW,4.85,89,260.1
2485,NSW,3.72,92,42.54
2630,NSW,6.52,92,104.41
2258,NSW,3.67,93,51.4
2720,NSW,3.83,88,90.9
2505,NSW,4.94,93,58.02
2502,NSW,3.22,89,58.55
2500,NSW,10.19,93,51.66
2450,NSW,12.4,93,270.14
2641,NSW,4.37,90,219.18
2705,NSW,4.36,91,267.43
2795,NSW,12.41,93,120.75
2820,NSW,3.08,79,215.14
2518,NSW,8.28,93,46.28
2582,NSW,3.08,90,51.42
2423,NSW,4.65,92,92.35
2484,NSW,5.84,91,54.63
2428,NSW,5.57,88,116.62
2528,NSW,7.05,93,65.45
2780,NSW,3,93,50.17
2827,NSW,3.4,86,302.47
2103,NSW,3.4,93,30.33
2444,NSW,5.59,91,205.57
2546,NSW,4.01,89,138.11
2372,NSW,3.65,83,182.33
2440,NSW,8.29,93,236.11
2343,NSW,3.07,88,187.21
2360,NSW,5.46,87,294.9
2666,NSW,3.54,85,177.78
2536,NSW,5.01,88,101.27
2652,NSW,4.37,90,206.73
2700,NSW,3.24,83,248.05
2257,NSW,3.26,92,45.28
2519,NSW,4.53,92,48.46
2548,NSW,3,92,187.32
2483,NSW,3.8,92,78.21
2540,NSW,8.37,93,122.08
2594,NSW,3.96,92,136.56
2671,NSW,3.22,89,235.97
2550,NSW,5.23,90,164.97
2537,NSW,5,91,108.59
2680,NSW,6.99,90,306.73
2380,NSW,3.78,87,254.91
2574,NSW,3.58,93,43.73
2470,NSW,6.42,91,115.44
2400,NSW,4.56,91,358.32
2390,NSW,3.68,91,339.47
2480,NSW,9.86,92,103.57
2263,NSW,5.96,93,34.86
2429,NSW,3.89,87,136.21
2365,NSW,3.1,87,303.47
2464,NSW,3.65,86,175.86
2456,NSW,3.52,88,226.26
2443,NSW,4.5,92,177.31
2710,NSW,4.18,87,356.02
2526,NSW,4.12,91,55.17
2871,NSW,3.67,85,239.09
2539,NSW,4.35,88,116.31
2870,NSW,3.27,84,254.23
2575,NSW,4.75,91,66.86
2481,NSW,3.36,77,92.65
2665,NSW,3.16,79,234.92
2477,NSW,3.14,70,113.31
4221,QLD,3.99,82,33.67
4173,QLD,6.7,82,31.65
4157,QLD,6.76,82,36.83
4551,QLD,9.26,82,48.16
4575,QLD,5.62,82,55.14
4556,QLD,6.12,82,58.1
4560,QLD,7.15,82,66.0
4566,QLD,4.43,82,89.79
4670,QLD,14.48,82,269.82
4818,QLD,4.59,82,1094.83
4352,QLD,5.91,82,110.69
4810,QLD,3.56,82,1085.2
4700,QLD,5.96,82,494.02
4680,QLD,8.85,82,407.83
4701,QLD,3.34,82,495.84
4341,QLD,5.78,82,38.19
4870,QLD,12.62,82,1371.11
4350,QLD,31.22,82,88.38
4814,QLD,8.04,82,1086.87
4370,QLD,5.46,82,101.48
4805,QLD,3.71,82,937.39
4655,QLD,9.23,82,213.96
4650,QLD,8.98,82,186.98
4390,QLD,4.57,81,267.96
4610,QLD,3.24,82,138.15
4570,QLD,9.78,82,117.23
4405,QLD,6.35,82,160.9
4740,QLD,12.85,82,778.92
4802,QLD,4.01,82,886.36
4817,QLD,4.6,82,1087.76
4811,QLD,3.9,82,1079.25
4807,QLD,3.12,82,1022.37
6208,WA,6.93,100,45.25
6036,WA,3.79,100,40.87
6210,WA,16.58,100,35.4
6330,WA,19.24,100,359.27
6233,WA,5.27,100,111.91
6725,WA,6,100,1716.52
6280,WA,14.75,100,166.93
6701,WA,5.02,100,839.2
6030,WA,8.34,100,36.62
6239,WA,3.57,100,149.05
6430,WA,9.17,100,539.51
6714,WA,6.76,100,1247.45
6743,WA,4.65,100,2152.09
6258,WA,5.95,100,225.15
6324,WA,3.01,100,314.85
6312,WA,3.02,100,146.37
6753,WA,4.01,100,1022.16
6230,WA,12.97,100,125.84
6229,WA,3.05,100,124.51
6721,WA,6.82,100,1323.42
6255,WA,3.01,100,193.77
6220,WA,3.44,100,92.86
6530,WA,11.57,100,374.55
6225,WA,3.02,100,128.2
6450,WA,6.99,100,578.82
6209,WA,3.03,100,36.68
6401,WA,4.31,100,76.35
6328,WA,3,100,365.62
6031,WA,5.22,100,31.88
6285,WA,3.97,100,203.61
6642,WA,3.01,100,702.48
6215,WA,3.73,100,67.78
6532,WA,3.73,100,475.83
