costco_key,state,year,month,date,mean_price_cents,n_observations,n_unique_stations
Casuarina,WA,2018,1,2018-01-15,137.1688,93,3
Casuarina,WA,2018,2,2018-02-15,136.3238,84,3
Casuarina,WA,2018,3,2018-03-15,134.3882,93,3
Casuarina,WA,2018,4,2018-04-15,137.8311,90,3
Casuarina,WA,2018,5,2018-05-15,146.1645,93,3
Casuarina,WA,2018,6,2018-06-15,147.2467,90,3
Casuarina,WA,2018,7,2018-07-15,144.7753,93,3
Casuarina,WA,2018,8,2018-08-15,142.4376,93,3
Casuarina,WA,2018,9,2018-09-15,147.2422,90,3
Casuarina,WA,2018,10,2018-10-15,156.4312,93,3
Casuarina,WA,2018,11,2018-11-15,142.7578,90,3
Casuarina,WA,2018,12,2018-12-15,126.8161,93,3
Casuarina,WA,2019,1,2019-01-15,124.4355,93,3
Casuarina,WA,2019,2,2019-02-15,125.6214,84,3
Casuarina,WA,2019,3,2019-03-15,134.3,93,3
Casuarina,WA,2019,4,2019-04-15,145.5622,90,3
Casuarina,WA,2019,5,2019-05-15,149.3108,93,3
Casuarina,WA,2019,6,2019-06-15,138.3762,84,3
Casuarina,WA,2019,7,2019-07-15,140.532,75,3
Casuarina,WA,2019,8,2019-08-15,138.1086,93,3
Casuarina,WA,2019,9,2019-09-15,141.7622,90,3
Casuarina,WA,2019,10,2019-10-15,144.8441,93,3
Casuarina,WA,2019,11,2019-11-15,142.9689,90,3
Casuarina,WA,2019,12,2019-12-15,143.7882,93,3
Casuarina,WA,2020,1,2020-01-15,142.1645,93,3
Casuarina,WA,2020,2,2020-02-15,134.4563,87,3
Casuarina,WA,2020,3,2020-03-15,122.171,93,3
Casuarina,WA,2020,4,2020-04-15,100.4978,90,3
Casuarina,WA,2020,5,2020-05-15,102.0419,93,3
Casuarina,WA,2020,6,2020-06-15,113.5311,90,3
Casuarina,WA,2020,7,2020-07-15,120.4204,93,3
Casuarina,WA,2020,8,2020-08-15,117.1667,93,3
Casuarina,WA,2020,9,2020-09-15,116.6511,90,3
Casuarina,WA,2020,10,2020-10-15,117.3495,93,3
Casuarina,WA,2020,11,2020-11-15,114.9956,90,3
Casuarina,WA,2020,12,2020-12-15,117.4527,93,3
Casuarina,WA,2021,1,2021-01-15,120.9215,93,3
Casuarina,WA,2021,2,2021-02-15,126.919,84,3
Casuarina,WA,2021,3,2021-03-15,132.5017,121,4
Casuarina,WA,2021,4,2021-04-15,133.343,149,5
Casuarina,WA,2021,5,2021-05-15,132.6239,155,5
Casuarina,WA,2021,6,2021-06-15,135.424,150,5
Casuarina,WA,2021,7,2021-07-15,142.4559,177,6
Casuarina,WA,2021,8,2021-08-15,142.9247,186,6
Casuarina,WA,2021,9,2021-09-15,144.1006,180,6
Casuarina,WA,2021,10,2021-10-15,154.5828,186,6
Casuarina,WA,2021,11,2021-11-15,160.7172,180,6
Casuarina,WA,2021,12,2021-12-15,153.8742,186,6
Casuarina,WA,2022,1,2022-01-15,160.0168,190,7
Casuarina,WA,2022,2,2022-02-15,171.4852,196,7
Casuarina,WA,2022,3,2022-03-15,191.0585,217,7
Casuarina,WA,2022,4,2022-04-15,162.5048,210,7
Casuarina,WA,2022,5,2022-05-15,180.3903,217,7
Casuarina,WA,2022,6,2022-06-15,195.1086,210,7
Casuarina,WA,2022,7,2022-07-15,181.4673,217,7
Casuarina,WA,2022,8,2022-08-15,154.982,217,7
Casuarina,WA,2022,9,2022-09-15,152.061,210,7
Casuarina,WA,2022,10,2022-10-15,171.1341,220,8
Casuarina,WA,2022,11,2022-11-15,173.2904,240,8
Casuarina,WA,2022,12,2022-12-15,161.4707,259,9
Casuarina,WA,2023,1,2023-01-15,165.2767,279,9
Casuarina,WA,2023,2,2023-02-15,168.5313,252,9
Casuarina,WA,2023,3,2023-03-15,171.3875,288,10
Casuarina,WA,2023,4,2023-04-15,176.6551,325,11
Casuarina,WA,2023,5,2023-05-15,169.0469,341,11
Casuarina,WA,2023,6,2023-06-15,168.1473,330,11
Casuarina,WA,2023,7,2023-07-15,170.0372,341,11
Casuarina,WA,2023,8,2023-08-15,189.7358,341,11
Casuarina,WA,2023,9,2023-09-15,196.8927,330,11
Casuarina,WA,2023,10,2023-10-15,189.0545,341,11
Casuarina,WA,2023,11,2023-11-15,185.5942,330,11
Casuarina,WA,2023,12,2023-12-15,173.5943,353,12
Casuarina,WA,2024,1,2024-01-15,170.0183,372,12
Casuarina,WA,2024,2,2024-02-15,181.9523,348,12
Casuarina,WA,2024,3,2024-03-15,180.4341,375,13
Casuarina,WA,2024,4,2024-04-15,185.3403,390,13
Casuarina,WA,2024,5,2024-05-15,181.0854,412,14
Casuarina,WA,2024,6,2024-06-15,172.7324,420,14
Casuarina,WA,2024,7,2024-07-15,175.3779,434,14
Casuarina,WA,2024,8,2024-08-15,173.0885,434,14
Casuarina,WA,2024,9,2024-09-15,162.8898,420,14
Casuarina,WA,2024,10,2024-10-15,163.6088,434,14
Casuarina,WA,2024,11,2024-11-15,163.0027,445,15
Casuarina,WA,2024,12,2024-12-15,165.6232,465,15
Casuarina,WA,2025,1,2025-01-15,172.6553,465,15
Casuarina,WA,2025,2,2025-02-15,173.1398,420,15
Casuarina,WA,2025,3,2025-03-15,170.7349,505,17
Casuarina,WA,2025,4,2025-04-15,168.5896,510,17
Casuarina,WA,2025,5,2025-05-15,164.1171,527,17
Casuarina,WA,2025,6,2025-06-15,166.9088,510,17
Casuarina,WA,2025,7,2025-07-15,168.5294,527,17
Casuarina,WA,2025,8,2025-08-15,166.7361,554,18
Casuarina,WA,2025,9,2025-09-15,170.0504,540,18
Casuarina,WA,2025,10,2025-10-15,168.1394,558,18
Casuarina,WA,2025,11,2025-11-15,171.1743,540,18
Casuarina,WA,2025,12,2025-12-15,169.7005,558,18
Casuarina,WA,2026,1,2026-01-15,163.0204,558,18
Casuarina,WA,2026,2,2026-02-15,159.9111,504,18
Casuarina,WA,2026,3,2026-03-15,220.4672,558,18
Casuarina,WA,2026,4,2026-04-15,201.733,522,18
Coomera,QLD,2019,1,2019-01-15,118.1913,23,18
Coomera,QLD,2019,2,2019-02-15,127.761,249,21
Coomera,QLD,2019,3,2019-03-15,135.6612,289,21
Coomera,QLD,2019,4,2019-04-15,143.0123,324,21
Coomera,QLD,2019,5,2019-05-15,146.127,641,23
Coomera,QLD,2019,6,2019-06-15,139.4859,646,23
Coomera,QLD,2019,7,2019-07-15,139.3594,895,23
Coomera,QLD,2019,8,2019-08-15,138.8651,923,24
Coomera,QLD,2019,9,2019-09-15,148.423,686,24
Coomera,QLD,2019,10,2019-10-15,152.8279,881,24
Coomera,QLD,2019,11,2019-11-15,147.7467,768,24
Coomera,QLD,2019,12,2019-12-15,150.0154,845,24
Coomera,QLD,2020,1,2020-01-15,147.2306,839,24
Coomera,QLD,2020,2,2020-02-15,140.3125,805,24
Coomera,QLD,2020,3,2020-03-15,128.6692,480,23
Coomera,QLD,2020,4,2020-04-15,98.7719,509,24
Coomera,QLD,2020,5,2020-05-15,106.8811,402,23
Coomera,QLD,2020,6,2020-06-15,118.2437,510,25
Coomera,QLD,2020,7,2020-07-15,123.3375,770,25
Coomera,QLD,2020,8,2020-08-15,125.7816,819,25
Coomera,QLD,2020,9,2020-09-15,116.9759,788,25
Coomera,QLD,2020,10,2020-10-15,122.7589,839,25
Coomera,QLD,2020,11,2020-11-15,121.3501,871,26
Coomera,QLD,2020,12,2020-12-15,126.1532,817,26
Coomera,QLD,2021,1,2021-01-15,129.5866,881,26
Coomera,QLD,2021,2,2021-02-15,133.0229,645,26
Coomera,QLD,2021,3,2021-03-15,140.0205,526,26
Coomera,QLD,2021,4,2021-04-15,141.5904,945,27
Coomera,QLD,2021,5,2021-05-15,141.24,906,28
Coomera,QLD,2021,6,2021-06-15,147.5835,702,28
Coomera,QLD,2021,7,2021-07-15,151.1937,716,28
Coomera,QLD,2021,8,2021-08-15,154.0547,563,28
Coomera,QLD,2021,9,2021-09-15,161.2446,280,27
Coomera,QLD,2021,10,2021-10-15,166.2386,259,28
Coomera,QLD,2021,11,2021-11-15,169.3391,376,28
Coomera,QLD,2021,12,2021-12-15,168.8043,323,28
Coomera,QLD,2022,1,2022-01-15,176.263,265,28
Coomera,QLD,2022,2,2022-02-15,185.5922,270,28
Coomera,QLD,2022,3,2022-03-15,198.5929,423,28
Coomera,QLD,2022,4,2022-04-15,174.0742,419,28
Coomera,QLD,2022,5,2022-05-15,197.6303,413,28
Coomera,QLD,2022,6,2022-06-15,200.0028,398,28
Coomera,QLD,2022,7,2022-07-15,193.0998,659,28
Coomera,QLD,2022,8,2022-08-15,170.5903,290,29
Coomera,QLD,2022,9,2022-09-15,169.6981,261,29
Coomera,QLD,2022,10,2022-10-15,180.0422,223,29
Coomera,QLD,2022,11,2022-11-15,195.5106,348,29
Coomera,QLD,2022,12,2022-12-15,179.2958,308,29
Coomera,QLD,2023,3,2023-03-15,179.4,22,21
Coomera,QLD,2023,4,2023-04-15,196.6191,230,29
Coomera,QLD,2023,5,2023-05-15,178.4147,368,29
Coomera,QLD,2023,6,2023-06-15,182.0081,298,28
Coomera,QLD,2023,7,2023-07-15,183.1101,237,30
Coomera,QLD,2023,8,2023-08-15,207.6773,220,30
Coomera,QLD,2023,9,2023-09-15,207.2641,370,30
Coomera,QLD,2023,10,2023-10-15,204.0601,406,30
Coomera,QLD,2023,11,2023-11-15,196.7,150,30
Coomera,QLD,2023,12,2023-12-15,194.8615,234,28
Coomera,QLD,2024,1,2024-01-15,192.1261,165,30
Coomera,QLD,2024,2,2024-02-15,194.2332,205,30
Coomera,QLD,2024,3,2024-03-15,200.2838,198,29
Coomera,QLD,2024,4,2024-04-15,212.5268,164,30
Coomera,QLD,2024,5,2024-05-15,202.8222,481,30
Coomera,QLD,2024,6,2024-06-15,199.4967,546,29
Coomera,QLD,2024,7,2024-07-15,194.174,289,30
Coomera,QLD,2024,8,2024-08-15,190.3402,515,30
Coomera,QLD,2024,9,2024-09-15,174.6267,315,30
Coomera,QLD,2024,10,2024-10-15,181.4451,499,30
Coomera,QLD,2024,11,2024-11-15,189.6863,344,30
Coomera,QLD,2024,12,2024-12-15,191.0372,172,30
Coomera,QLD,2025,1,2025-01-15,186.3505,436,30
Coomera,QLD,2025,2,2025-02-15,193.0167,150,29
Coomera,QLD,2025,3,2025-03-15,191.8632,190,30
Coomera,QLD,2025,4,2025-04-15,175.0692,156,30
Coomera,QLD,2025,5,2025-05-15,180.3124,193,30
Coomera,QLD,2025,6,2025-06-15,171.2986,291,30
Coomera,QLD,2025,7,2025-07-15,185.0359,668,30
Coomera,QLD,2025,8,2025-08-15,186.0043,327,30
Coomera,QLD,2025,9,2025-09-15,187.0246,398,30
Coomera,QLD,2025,10,2025-10-15,181.0634,947,30
Coomera,QLD,2025,11,2025-11-15,183.2875,658,30
Coomera,QLD,2025,12,2025-12-15,179.9861,638,30
Lake Macquarie,NSW,2016,12,2016-12-15,124.2207,58,9
Lake Macquarie,NSW,2017,1,2017-01-15,138.076,100,10
Lake Macquarie,NSW,2017,2,2017-02-15,129.8395,43,9
Lake Macquarie,NSW,2017,3,2017-03-15,122.7315,127,11
Lake Macquarie,NSW,2017,4,2017-04-15,126.3094,127,11
Lake Macquarie,NSW,2017,5,2017-05-15,126.7563,142,11
Lake Macquarie,NSW,2017,6,2017-06-15,119.6011,281,11
Lake Macquarie,NSW,2017,7,2017-07-15,109.437,162,11
Lake Macquarie,NSW,2017,8,2017-08-15,123.2227,440,12
Lake Macquarie,NSW,2017,9,2017-09-15,120.0297,259,11
Lake Macquarie,NSW,2017,10,2017-10-15,135.3481,104,12
Lake Macquarie,NSW,2017,11,2017-11-15,134.7431,65,8
Lake Macquarie,NSW,2017,12,2017-12-15,142.9432,74,9
Lake Macquarie,NSW,2018,1,2018-01-15,138.9521,73,8
Lake Macquarie,NSW,2018,2,2018-02-15,141.4426,101,8
Lake Macquarie,NSW,2018,3,2018-03-15,134.3631,65,8
Lake Macquarie,NSW,2018,4,2018-04-15,145.2085,141,12
Lake Macquarie,NSW,2018,8,2018-08-15,143.7327,205,13
Lake Macquarie,NSW,2018,11,2018-11-15,141.4089,282,12
Lake Macquarie,NSW,2018,12,2018-12-15,127.6612,188,12
Lake Macquarie,NSW,2019,1,2019-01-15,125.2475,101,13
Lake Macquarie,NSW,2019,2,2019-02-15,131.0343,99,14
Lake Macquarie,NSW,2019,4,2019-04-15,135.0123,73,9
Lake Macquarie,NSW,2019,6,2019-06-15,134.9,161,14
Lake Macquarie,NSW,2019,7,2019-07-15,143.0429,77,14
Lake Macquarie,NSW,2019,8,2019-08-15,143.9945,128,12
Lake Macquarie,NSW,2019,9,2019-09-15,147.1541,74,14
Lake Macquarie,NSW,2019,10,2019-10-15,145.4881,134,14
Lake Macquarie,NSW,2019,11,2019-11-15,148.6395,129,14
Lake Macquarie,NSW,2019,12,2019-12-15,145.2661,118,14
Lake Macquarie,NSW,2020,1,2020-01-15,151.5337,101,14
Lake Macquarie,NSW,2020,2,2020-02-15,146.3061,165,14
Lake Macquarie,NSW,2020,3,2020-03-15,125.7041,147,15
Lake Macquarie,NSW,2020,4,2020-04-15,104.0175,80,15
Lake Macquarie,NSW,2020,5,2020-05-15,105.7613,75,15
Lake Macquarie,NSW,2020,6,2020-06-15,124.4263,57,15
Lake Macquarie,NSW,2020,7,2020-07-15,113.6851,67,16
Lake Macquarie,NSW,2020,8,2020-08-15,110.5242,66,16
Lake Macquarie,NSW,2020,9,2020-09-15,122.7244,82,15
Lake Macquarie,NSW,2020,10,2020-10-15,123.7677,155,18
Lake Macquarie,NSW,2020,11,2020-11-15,120.9634,205,19
Lake Macquarie,NSW,2020,12,2020-12-15,133.4914,35,18
Lake Macquarie,NSW,2021,1,2021-01-15,128.6889,18,13
Lake Macquarie,NSW,2021,2,2021-02-15,143.2935,46,18
Lake Macquarie,NSW,2021,3,2021-03-15,146.6048,62,19
Lake Macquarie,NSW,2021,4,2021-04-15,144.24,5,5
Lake Macquarie,NSW,2021,5,2021-05-15,143.8333,54,15
Lake Macquarie,NSW,2021,6,2021-06-15,140.2112,98,19
Lake Macquarie,NSW,2021,7,2021-07-15,148.3216,37,8
Lake Macquarie,NSW,2021,8,2021-08-15,160.3122,49,19
Lake Macquarie,NSW,2021,9,2021-09-15,149.975,28,8
Lake Macquarie,NSW,2021,10,2021-10-15,165.3418,55,20
Lake Macquarie,NSW,2021,11,2021-11-15,163.9287,87,15
Lake Macquarie,NSW,2021,12,2021-12-15,164.1167,36,18
Lake Macquarie,NSW,2022,1,2022-01-15,179.0524,42,20
Lake Macquarie,NSW,2022,2,2022-02-15,180.8613,75,19
Lake Macquarie,NSW,2022,3,2022-03-15,191.0576,132,22
Lake Macquarie,NSW,2022,4,2022-04-15,176.963,192,22
Lake Macquarie,NSW,2022,5,2022-05-15,198.0793,232,22
Lake Macquarie,NSW,2022,6,2022-06-15,207.8657,566,23
Lake Macquarie,NSW,2022,7,2022-07-15,197.0,410,23
Lake Macquarie,NSW,2022,8,2022-08-15,169.5479,192,22
Lake Macquarie,NSW,2022,9,2022-09-15,178.4987,79,23
Lake Macquarie,NSW,2022,10,2022-10-15,181.3503,163,27
Lake Macquarie,NSW,2022,11,2022-11-15,192.3939,180,27
Lake Macquarie,NSW,2022,12,2022-12-15,175.797,167,26
Lake Macquarie,NSW,2023,1,2023-01-15,184.8471,140,27
Lake Macquarie,NSW,2023,2,2023-02-15,192.0829,117,29
Lake Macquarie,NSW,2023,3,2023-03-15,178.7696,125,20
Lake Macquarie,NSW,2023,4,2023-04-15,193.7782,156,28
Lake Macquarie,NSW,2023,5,2023-05-15,175.4118,287,30
Lake Macquarie,NSW,2023,6,2023-06-15,184.7783,345,28
Lake Macquarie,NSW,2023,7,2023-07-15,193.1991,221,30
Lake Macquarie,NSW,2023,9,2023-09-15,213.7947,361,29
Lake Macquarie,NSW,2023,10,2023-10-15,195.3968,344,31
Lake Macquarie,NSW,2023,11,2023-11-15,203.2649,579,30
Lake Macquarie,NSW,2023,12,2023-12-15,190.7716,567,31
Lake Macquarie,NSW,2024,1,2024-01-15,187.9244,623,30
Lake Macquarie,NSW,2024,2,2024-02-15,199.3878,614,31
