state,station_id,name,name_norm,address,suburb,postcode,lat,lng
NSW,1-GPPT-51,Shell Lennox Head,shell lennox head,"44-48 Byron St, Lennox Head NSW 2478",LENNOX HEAD,2478,-28.791958,153.588373
NSW,1-GPPT-513,BP Quakers Hill,bp quakers hill,"450 Quakers Hill Pkw, Quakers Hill NSW 2763",QUAKERS HILL,2763,-33.729972,150.902371
NSW,1-GPPT-516,Independent Coramba,independent coramba,"33 Gale Street, Coramba NSW 2450",CORAMBA,2450,-30.22175,153.014214
NSW,1-GPPT-52,Shell Suffolk Park,shell suffolk park,"207 Broken Head Road, Suffolk Park NSW 2481",SUFFOLK PARK,2481,-28.68797,153.608247
NSW,1-GPPT-521,SPEEDWAY BEACON HILL.,speedway beacon hill.,"214 Warringah Road, Beacon Hill NSW 2100",BEACON HILL,2100,-33.752572,151.25491
NSW,1-GPPT-524,Independent Goulburn,independent goulburn,"Corner Ross & Queen Street, GOULBURN NSW 2580",GOULBURN,2580,-34.726148,149.741115
NSW,1-GPPT-526,Metro Fuel Doonside,metro fuel doonside,"198 Hill End Road, Doonside NSW 2767",DOONSIDE,2767,-33.747217,150.872244
NSW,1-GPPT-53,BP Hastings Point,bp hastings point,"1 Coast Road, Hastings Point NSW 2489",HASTINGS POINT,2489,-28.356035,153.573286
NSW,1-GPPT-530,TASCO Albury North St,tasco albury north st,"127 North Street, Albury NSW 2640",ALBURY,2640,-36.070464,146.94411
NSW,1-GPPT-531,TASCO Balranald Market St,tasco balranald market st,"99 Market Street, Balranald NSW 2715",BALRANALD,2715,-34.63953,143.563591
NSW,1-GPPT-532,TASCO Broken Hill Kanandah Rd,tasco broken hill kanandah rd,"5 Kanandah Road, Broken Hill NSW 2880",BROKEN HILL,2880,-31.984398,141.432912
NSW,1-GPPT-534,TASCO Hay Sturt Hwy,tasco hay sturt hwy,"Sturt Hwy & Archer St, HAY SOUTH NSW 2711",HAY SOUTH,2711,-34.520145,144.838046
NSW,1-GPPT-536,Shell Wellington,shell wellington,"16 Mitchell Hwy, Wellington NSW 2820",WELLINGTON,2820,-32.540988,148.942839
NSW,1-GPPT-537,TASCO Corowa Cemetery Rd,tasco corowa cemetery rd,"161 Cemetery Road, Corowa NSW 2646",COROWA,2646,-35.98942,146.369078
NSW,1-GPPT-539,TASCO Leeton Pine Ave,tasco leeton pine ave,"1 Pine Avenue, Leeton NSW 2705",LEETON,2705,-34.551465,146.399232
NSW,1-GPPT-540,BP Normanhurst,bp normanhurst,"155 Pennant Hills Rd, Normanhurst NSW 2076",NORMANHURST,2076,-33.724599,151.089992
NSW,1-GPPT-541,TASCO Narrandera,tasco narrandera,"16322 Newell Highway, GILLENBAH NSW 2700",GILLENBAH,2700,-34.7627245,146.5403563
NSW,1-GPPT-542,TASCO Tarcutta Hume Hwy,tasco tarcutta hume hwy,"Hume Highway, TARCUTTA NSW 2652",TARCUTTA,2652,-35.27747,147.73585
NSW,1-GPPT-543,TASCO Tumut Adelong Rd,tasco tumut adelong rd,"42 Adelong Road, Tumut NSW 2720",TUMUT,2720,-35.29594,148.212938
NSW,1-GPPT-545,TASCO Wagga Fernleigh Rd,tasco wagga fernleigh rd,"131 Fernleigh Road, Wagga Wagga NSW 2650",WAGGA WAGGA,2650,-35.129978,147.341985
NSW,1-GPPT-546,TASCO Wagga Hammond Ave,tasco wagga hammond ave,"151 Hammond Ave, Wagga Wagga NSW 2650",WAGGA WAGGA,2650,-35.122317,147.396377
NSW,1-GPPT-549,Independent Jindabyne,independent jindabyne,"6532 Kosciuszko Rd, Jindabyne NSW 2627",JINDABYNE,6532,-36.409797,148.596733
NSW,1-GPPT-553,Liberty Byron Bay,liberty byron bay,"1B Butler St, Byron Bay NSW 2481",BYRON BAY,2481,-28.641787,153.610799
NSW,1-GPPT-555,Ampol Woolgoolga,ampol woolgoolga,"16 Bosworth Road, Woolgoolga NSW 2456",WOOLGOOLGA,2456,-30.125659,153.194274
NSW,1-GPPT-557,BUDGET PETROL BEXLEY ROAD CAMPSIE,budget petrol bexley road campsie,"65 Bexley Rd, Campsie NSW 2194",CAMPSIE,2194,-33.922371,151.106748
NSW,1-GPPT-559,Ampol Rankins Springs,ampol rankins springs,"20 Boomerang Street, Rankins Springs NSW 2669",RANKINS SPRINGS,2669,-33.841676,146.260758
NSW,1-GPPT-560,Ampol Winmalee,ampol winmalee,"281 Hawkesbury Rd, Winmalee NSW 2777",WINMALEE,2777,-33.682233,150.59972
NSW,1-GPPT-562,BP Yamba - The Bait Place,bp yamba - the bait place,"11 Yamba Road, Yamba NSW 2464",YAMBA,2464,-29.435157,153.344377
NSW,1-GPPT-563,Metro Fuel Homebush,metro fuel homebush,"134 John Street, Lidcombe NSW 2141",LIDCOMBE,2141,-33.854822,151.046648
NSW,1-GPPT-564,Independent Bonville,independent bonville,"340 Pine Creek Way, Bonville NSW 2450",BONVILLE,2450,-30.371676,153.035292
NSW,1-GPPT-568,Shell Deniliquin,shell deniliquin,"375 Cressy St, Deniliquin NSW 2710",DENILIQUIN,2710,-35.527325,144.962006
NSW,1-GPPT-569,BP North Rocks,bp north rocks,"369 North Rocks Rd, North Rocks NSW 2151",NORTH ROCKS,2151,-33.769346,151.031858
NSW,1-GPPT-57,Hastings Co-op Depot,hastings co-op depot,"229 High Street, Wauchope NSW 2446",WAUCHOPE,2446,-31.468377,152.715021
NSW,1-GPPT-571,Independent Port Macquarie,independent port macquarie,"156 Gordon St, Port Macquarie NSW 2444",PORT MACQUARIE,2444,-31.435199,152.900581
NSW,1-GPPT-574,Mobil 1 Carlingford Car Care,mobil 1 carlingford car care,"482 North Rocks Rd, Carlingford NSW 2118",CARLINGFORD,2118,-33.765073,151.057902
